property_type,floor,residence_status,registration_status,area_sqft,bedrooms,bathrooms,swimming_pool,parking_space,furnished,furniture_available,locality_score,access_main_road,shopping_complex,local_market,previous_price,price,future_trend
Building,16,Residence,Registrable,274038,8,4,0,9,1,0,3,0,0,1,14607127,14700854,Up
Flat,23,Residence,Documented,331736,1,7,0,7,0,1,8,1,0,1,17400494,17519413,Up
Empty Land,0,Non-Residence,Documented,528678,1,1,0,7,0,1,1,1,1,0,26692967,26795659,Up
Flat,9,Non-Residence,Documented,566394,12,7,0,3,1,0,3,1,1,0,29299986,29399531,Up
Villa,0,Non-Residence,Registrable,489992,7,8,1,4,1,0,7,1,1,0,25296367,25439335,Up
Building,14,Residence,Documented,257340,8,5,0,3,0,1,4,1,1,0,13617364,13744011,Up
Apartment,25,Residence,Registrable,473754,13,2,0,8,1,1,7,0,1,1,24907930,25006268,Up
Apartment,24,Non-Residence,Registrable,349957,3,5,1,1,1,0,5,1,1,0,18249559,18359521,Up
Farm House,0,Residence,Documented,666487,5,6,1,7,0,1,6,1,0,0,34072348,34219783,Up
Flat,7,Non-Residence,Registrable,271436,12,2,1,1,0,0,7,0,1,0,14419475,14492636,Up
Flat,12,Residence,Documented,240431,1,6,1,0,0,0,10,0,0,0,12689541,12748364,Up
Farm House,0,Non-Residence,Documented,240129,7,6,0,9,0,0,7,1,1,0,12765920,12908888,Up
House,3,Residence,Documented,205541,5,1,0,2,0,1,7,1,1,1,10774815,10857904,Up
Empty Land,0,Non-Residence,Documented,698861,8,1,1,8,0,0,7,0,0,0,35648688,35759538,Up
Empty Land,0,Non-Residence,Registrable,732412,13,3,1,2,1,0,7,1,0,0,37550638,37621691,Up
House,3,Non-Residence,Documented,417613,8,3,0,8,1,1,3,1,0,0,21605323,21672770,Up
House,2,Residence,Registrable,68648,9,4,0,6,0,1,3,1,1,1,4080418,4220259,Up
Villa,0,Non-Residence,Registrable,649031,7,2,0,9,1,1,7,0,1,1,33276842,33329953,Up
Farm House,0,Residence,Documented,252495,11,9,0,0,1,0,2,1,0,1,13411541,13520361,Up
Building,19,Non-Residence,Registrable,679343,1,7,0,9,0,1,2,1,1,1,34634598,34777627,Up
Empty Land,0,Non-Residence,Documented,573343,13,7,1,4,1,1,3,0,0,1,29647415,29773936,Up
House,3,Non-Residence,Documented,257008,3,6,1,8,1,0,4,1,1,1,13615775,13734397,Up
House,1,Residence,Documented,107030,8,3,1,2,0,0,6,1,1,1,6004722,6107685,Up
Farm House,0,Residence,Registrable,604865,3,6,1,8,1,0,8,1,1,1,31052473,31154976,Up
Apartment,23,Residence,Documented,460837,8,8,0,4,1,0,10,1,0,0,24102095,24241095,Up
Building,13,Non-Residence,Documented,725339,1,8,1,8,0,1,10,0,1,0,37169722,37261640,Up
House,2,Residence,Registrable,460273,5,9,0,9,1,0,7,0,0,1,23845688,23967556,Up
Apartment,7,Non-Residence,Documented,208761,4,1,0,5,1,1,4,1,0,0,10991903,11084445,Up
Villa,0,Non-Residence,Documented,341597,5,1,0,8,1,0,2,1,0,1,17575883,17694595,Up
Building,17,Non-Residence,Documented,315639,8,3,0,6,0,0,2,1,0,0,16608449,16660865,Up
Apartment,16,Non-Residence,Documented,172329,10,3,0,6,0,1,4,1,0,0,9526396,9616832,Up
Villa,0,Non-Residence,Documented,272336,14,8,0,7,1,1,6,0,0,1,14685616,14809803,Up
Flat,8,Residence,Documented,439474,4,1,0,6,1,1,3,0,0,0,22569176,22629662,Up
Empty Land,0,Residence,Registrable,202783,11,2,1,8,0,0,6,0,0,1,11076542,11145237,Up
House,1,Non-Residence,Documented,197269,4,2,0,8,0,0,5,1,0,1,10436657,10487886,Up
Apartment,13,Non-Residence,Documented,561853,3,3,1,5,1,1,5,1,1,0,28818500,28935566,Up
Building,11,Residence,Documented,223665,7,6,1,6,0,1,2,1,0,1,12025610,12117957,Up
Villa,0,Non-Residence,Documented,624087,3,1,0,1,1,0,8,0,1,0,31577366,31628729,Up
Empty Land,0,Non-Residence,Registrable,536322,12,2,0,8,1,1,5,0,0,0,27639005,27771377,Up
Empty Land,0,Non-Residence,Documented,488379,3,1,1,0,0,1,2,0,1,1,24758730,24894554,Up
House,2,Non-Residence,Registrable,565185,11,5,1,0,0,0,7,0,1,1,29083776,29221692,Up
Apartment,5,Residence,Documented,354031,10,7,1,2,1,1,9,0,1,1,18777112,18872981,Up
Empty Land,0,Non-Residence,Documented,263660,5,8,1,5,1,0,9,1,1,1,14048027,14147756,Up
House,2,Residence,Registrable,580379,5,1,0,4,0,0,1,1,1,1,29463603,29533906,Up
Apartment,20,Residence,Registrable,221384,14,7,0,1,1,0,7,1,1,0,12242095,12364948,Up
Apartment,14,Residence,Documented,23747,6,5,0,8,0,1,9,0,0,1,2133945,2187209,Up
Flat,12,Residence,Documented,24800,8,1,1,9,0,1,6,1,0,0,2200155,2268470,Up
House,1,Non-Residence,Documented,467781,10,3,0,3,0,1,1,1,0,1,24002400,24130629,Up
Farm House,0,Non-Residence,Documented,607586,6,7,1,3,0,1,2,0,0,0,31040082,31172184,Up
Villa,0,Non-Residence,Documented,534056,12,1,0,4,0,0,4,0,0,0,27358390,27468911,Up
Farm House,0,Residence,Documented,349451,1,7,1,7,1,0,4,0,0,0,18087678,18162489,Up
Apartment,4,Residence,Registrable,274829,8,5,0,9,0,1,2,1,1,0,14493793,14577198,Up
Apartment,7,Residence,Documented,719564,8,1,0,3,0,1,8,0,0,0,36624922,36727079,Up
Empty Land,0,Non-Residence,Documented,742639,9,1,1,4,0,1,2,1,1,1,37779242,37889065,Up
Empty Land,0,Non-Residence,Documented,432815,9,1,1,3,0,1,3,1,1,0,22327917,22397773,Up
Empty Land,0,Non-Residence,Registrable,517088,2,9,1,5,0,0,4,0,1,1,26487425,26630327,Up
Apartment,11,Residence,Registrable,237084,2,3,1,2,0,1,9,1,1,0,12500173,12597143,Up
House,2,Residence,Registrable,562832,3,5,1,7,0,0,10,0,1,1,28855797,28956584,Up
Building,4,Non-Residence,Documented,377396,1,9,0,5,1,1,1,0,1,0,19391121,19517295,Up
House,3,Residence,Registrable,49484,4,6,1,9,1,1,8,1,0,0,3288595,3424947,Up
Villa,0,Residence,Documented,303418,14,9,0,4,1,1,5,1,1,1,16324992,16395590,Up
House,1,Non-Residence,Documented,265212,4,8,0,1,1,0,7,1,1,1,13898437,13990978,Up
Empty Land,0,Residence,Documented,120651,14,8,0,9,0,1,8,0,0,0,7173453,7234105,Up
Flat,15,Residence,Documented,456308,9,1,0,9,1,0,5,1,0,0,23680060,23747023,Up
Villa,0,Non-Residence,Documented,134267,9,9,0,6,0,0,8,0,0,1,7603436,7685659,Up
Farm House,0,Residence,Documented,649163,9,6,1,1,1,1,10,0,0,0,33402906,33483930,Up
Flat,20,Residence,Documented,704050,10,9,1,0,1,0,8,1,0,0,36399225,36453166,Up
Villa,0,Residence,Registrable,136830,7,3,0,6,0,0,9,1,0,1,7511040,7634963,Up
Villa,0,Residence,Registrable,481254,14,3,0,4,0,0,2,1,0,0,24759707,24883767,Up
Apartment,22,Non-Residence,Registrable,302148,2,6,1,0,1,1,3,1,1,0,15808048,15899665,Up
Empty Land,0,Non-Residence,Documented,689019,10,9,1,3,1,0,1,0,0,1,35342580,35483395,Up
Apartment,24,Residence,Registrable,14486,5,7,0,3,1,0,4,1,1,0,1531012,1635716,Up
Farm House,0,Non-Residence,Documented,586646,4,3,1,9,1,1,5,0,0,1,30086047,30162072,Up
House,1,Non-Residence,Registrable,129812,12,3,1,6,0,1,1,1,0,1,7374329,7507501,Up
Apartment,25,Non-Residence,Registrable,13166,11,2,1,8,1,0,8,1,1,0,1867867,1961091,Up
Farm House,0,Residence,Documented,301304,8,9,0,1,1,0,2,1,0,0,15778048,15841325,Up
Empty Land,0,Residence,Registrable,135133,2,3,1,0,1,0,1,0,0,1,7134397,7233115,Up
Empty Land,0,Non-Residence,Documented,289498,6,5,0,1,1,0,2,1,0,1,15002614,15093609,Up
Apartment,5,Non-Residence,Registrable,629276,13,9,0,6,1,1,5,0,0,0,32612321,32669860,Up
Empty Land,0,Non-Residence,Registrable,708111,5,8,0,9,0,1,9,1,0,1,36214108,36296961,Up
Flat,14,Non-Residence,Registrable,285306,12,2,0,5,0,0,9,1,0,0,15244344,15321155,Up
Farm House,0,Residence,Documented,31035,2,3,0,3,0,1,2,0,0,1,1816970,1959434,Up
Farm House,0,Non-Residence,Documented,376213,11,2,1,0,0,0,2,0,1,1,19494325,19551234,Up
Villa,0,Residence,Registrable,351779,10,8,0,0,0,1,3,1,0,1,18307292,18450897,Up
Building,18,Residence,Registrable,602161,1,6,0,4,1,1,7,1,1,0,30771219,30874652,Up
House,3,Residence,Documented,648472,8,6,0,0,0,0,3,0,1,1,33050256,33146340,Up
Empty Land,0,Residence,Registrable,490070,2,9,1,6,0,0,1,1,1,1,25068830,25192399,Up
Farm House,0,Residence,Registrable,457051,7,8,1,0,1,0,6,0,1,1,23670787,23777603,Up
Farm House,0,Residence,Documented,273609,9,4,1,0,0,0,3,1,1,1,14399290,14460038,Up
Villa,0,Residence,Registrable,25038,9,4,1,1,0,1,1,0,1,0,1885708,2006310,Up
House,2,Non-Residence,Registrable,202164,8,9,1,9,0,1,4,0,1,1,11108587,11221052,Up
Building,16,Residence,Documented,491734,11,1,1,2,0,0,1,0,0,0,25360846,25460254,Up
Building,14,Non-Residence,Documented,139682,14,2,1,0,1,1,1,0,0,1,7954115,8016113,Up
Empty Land,0,Non-Residence,Documented,473025,12,2,0,8,1,1,2,0,0,1,24507850,24571614,Up
Building,16,Non-Residence,Documented,158838,10,6,0,9,0,0,10,1,1,0,8979362,9129113,Up
Building,11,Non-Residence,Registrable,184564,9,4,1,7,1,0,8,1,0,0,10229315,10324694,Up
Apartment,28,Non-Residence,Documented,214520,2,3,0,4,0,1,2,1,1,1,11270284,11401678,Up
House,1,Residence,Documented,623594,6,3,0,1,1,0,2,1,1,1,31625464,31735052,Up
House,3,Residence,Registrable,615770,4,3,1,4,1,0,10,1,0,1,31436684,31569297,Up
Apartment,23,Non-Residence,Documented,646414,14,6,0,5,1,1,10,1,1,0,33587400,33699798,Up
Empty Land,0,Non-Residence,Documented,119676,4,8,0,0,1,1,8,1,1,1,6551466,6677259,Up
Farm House,0,Non-Residence,Registrable,218626,5,7,1,3,1,0,6,1,0,0,11642984,11740194,Up
Villa,0,Residence,Documented,219469,12,4,0,8,1,1,4,1,1,1,11957105,12051665,Up
Empty Land,0,Non-Residence,Documented,122909,3,4,1,1,1,0,3,0,0,0,6629451,6748652,Up
Flat,23,Residence,Registrable,548207,14,2,1,4,1,0,1,0,1,0,28577379,28644113,Up
Building,5,Residence,Documented,254118,1,1,0,0,1,1,3,1,1,0,12966966,13091342,Up
Apartment,3,Non-Residence,Documented,50515,8,9,0,3,1,1,9,0,0,1,3366050,3493648,Up
Villa,0,Residence,Registrable,122596,5,2,0,3,1,0,5,1,0,1,6577572,6700152,Up
Farm House,0,Residence,Registrable,631847,3,8,1,5,0,0,6,0,0,0,32287494,32339557,Up
Farm House,0,Residence,Documented,185840,10,9,1,9,1,0,5,0,1,0,10388571,10460884,Up
House,1,Non-Residence,Documented,111187,14,4,1,8,0,1,1,0,1,0,6609143,6686230,Up
Flat,15,Non-Residence,Documented,411857,7,8,0,2,1,0,10,1,0,1,21509437,21605216,Up
Farm House,0,Non-Residence,Registrable,736216,7,9,0,8,0,1,1,1,0,1,37561455,37651636,Up
Flat,23,Non-Residence,Documented,106378,1,5,1,5,0,0,4,1,0,1,6023137,6091342,Up
Building,5,Non-Residence,Documented,727770,12,7,0,6,0,1,3,1,1,0,37387472,37449936,Up
House,2,Non-Residence,Registrable,198786,9,4,0,9,1,0,8,0,1,1,10828088,10905220,Up
Villa,0,Non-Residence,Documented,165399,2,1,1,1,1,1,7,1,0,1,8671899,8772636,Up
House,3,Non-Residence,Documented,325267,5,3,1,9,1,0,7,0,0,1,17007669,17126954,Up
Building,6,Residence,Documented,380489,13,5,0,5,1,0,8,1,0,0,19980257,20094806,Up
Apartment,23,Non-Residence,Registrable,416015,14,3,1,5,0,0,10,0,1,1,22061607,22146913,Up
Farm House,0,Residence,Registrable,44085,5,7,0,1,1,0,7,0,0,1,2806451,2882043,Up
Flat,14,Residence,Documented,371869,14,9,1,1,1,1,10,0,0,1,19846954,19980941,Up
Apartment,24,Non-Residence,Documented,64544,8,6,1,1,1,1,2,0,0,1,4205148,4348942,Up
Building,2,Residence,Registrable,442796,14,1,1,9,1,1,4,1,1,1,23219424,23314182,Up
Farm House,0,Residence,Documented,110056,8,7,0,0,1,1,6,1,1,0,6203872,6352264,Up
Empty Land,0,Non-Residence,Registrable,527481,14,3,0,4,1,1,3,0,0,0,27181665,27318822,Up
Flat,18,Residence,Registrable,200735,7,5,1,7,1,0,3,1,1,0,11072269,11128846,Up
Building,6,Non-Residence,Registrable,26439,7,4,1,1,1,1,6,1,0,0,2003731,2138961,Up
Villa,0,Residence,Registrable,153406,12,5,1,4,0,1,1,0,0,1,8619657,8677920,Up
Villa,0,Residence,Registrable,542835,11,5,0,7,0,1,1,1,0,1,27903527,28036268,Up
Farm House,0,Non-Residence,Documented,288749,6,6,1,9,1,1,5,1,0,0,15323011,15381083,Up
Farm House,0,Residence,Registrable,76266,6,6,1,4,1,0,1,1,1,0,4442348,4553162,Up
Villa,0,Residence,Documented,409423,11,8,1,1,1,0,10,0,0,0,21463962,21559268,Up
Empty Land,0,Non-Residence,Documented,415692,9,8,1,2,1,0,8,1,0,1,21777758,21833449,Up
House,1,Non-Residence,Documented,569050,6,9,0,5,0,0,2,0,1,1,29118069,29255718,Up
Villa,0,Residence,Registrable,387761,12,8,0,4,0,1,6,0,0,1,20366400,20418353,Up
Farm House,0,Residence,Documented,685940,13,2,1,3,1,1,10,0,1,0,35218204,35338703,Up
Farm House,0,Non-Residence,Documented,653164,13,1,0,3,0,0,10,1,0,0,33349891,33493296,Up
Empty Land,0,Residence,Documented,455089,2,2,0,4,0,0,5,1,0,0,23042516,23169497,Up
Villa,0,Non-Residence,Registrable,138348,2,2,0,1,1,1,10,1,0,1,7374283,7462042,Up
Empty Land,0,Non-Residence,Documented,617575,13,3,1,8,1,1,4,0,0,1,31949456,32019641,Up
Villa,0,Non-Residence,Registrable,128448,5,7,0,1,1,0,1,1,1,0,6871849,6995832,Up
House,2,Residence,Registrable,579804,4,2,0,9,0,0,3,0,0,0,29436201,29520900,Up
Building,17,Residence,Documented,403190,11,1,0,1,0,0,4,1,1,1,20872186,21021362,Up
Villa,0,Residence,Documented,499546,2,6,1,9,1,0,2,0,1,1,25574006,25697496,Up
Building,11,Non-Residence,Registrable,451769,3,9,1,8,1,1,2,1,1,0,23521897,23625636,Up
Villa,0,Residence,Registrable,22459,7,3,0,2,0,1,2,1,0,0,1593937,1699568,Up
House,1,Non-Residence,Documented,661390,8,6,0,9,0,1,1,1,1,1,33904329,33972274,Up
Apartment,10,Residence,Documented,229076,12,3,1,6,1,0,10,0,1,0,12575164,12663458,Up
Farm House,0,Non-Residence,Documented,538333,13,1,1,3,0,1,2,0,1,0,27777042,27839962,Up
Building,9,Non-Residence,Documented,166338,6,5,0,5,1,1,6,1,0,1,9003084,9148604,Up
Empty Land,0,Residence,Documented,336174,11,4,0,3,1,0,3,0,0,0,17555635,17659244,Up
Villa,0,Non-Residence,Registrable,61587,5,7,1,9,0,0,10,0,1,1,3888633,4009729,Up
Farm House,0,Residence,Registrable,593628,13,6,1,6,0,0,5,0,1,0,30660073,30790998,Up
Villa,0,Residence,Registrable,118951,1,7,0,0,0,0,1,1,0,1,6217212,6329570,Up
Empty Land,0,Residence,Registrable,448100,8,5,1,2,1,0,8,1,1,0,23189308,23263573,Up
House,2,Residence,Registrable,440292,3,4,0,2,1,0,4,1,1,0,22393764,22517015,Up
Flat,1,Residence,Documented,39853,6,7,0,0,1,1,9,0,1,0,2681148,2815752,Up
Villa,0,Non-Residence,Registrable,193575,3,7,0,5,1,1,4,1,0,1,10330980,10390418,Up
Apartment,27,Residence,Documented,214783,7,6,1,8,1,1,2,0,1,0,11829999,11950778,Up
Empty Land,0,Non-Residence,Registrable,315377,13,8,0,7,1,1,3,0,1,0,16827508,16906137,Up
Flat,24,Residence,Registrable,65818,14,4,0,6,0,1,5,1,0,1,4399402,4511844,Up
Villa,0,Non-Residence,Documented,483190,7,5,1,9,1,1,10,1,1,0,25121255,25175340,Up
Building,18,Non-Residence,Registrable,417380,12,4,1,7,1,0,6,1,0,1,22024188,22157114,Up
Farm House,0,Residence,Registrable,591960,9,1,0,5,1,0,7,0,0,1,30272929,30347442,Up
Farm House,0,Non-Residence,Registrable,741476,5,8,0,8,1,0,4,0,0,1,37782205,37892289,Up
Empty Land,0,Residence,Registrable,93764,8,1,1,2,0,1,7,1,1,0,5292231,5428461,Up
Building,12,Residence,Documented,225781,10,5,1,9,1,1,10,0,1,1,12474723,12588328,Up
House,2,Residence,Registrable,637647,10,6,1,9,0,0,3,1,1,0,32799286,32910952,Up
Flat,1,Non-Residence,Registrable,394570,8,6,0,8,0,0,7,1,1,1,20478214,20608634,Up
Empty Land,0,Non-Residence,Registrable,352728,1,5,0,3,1,0,4,1,1,0,18017708,18136120,Up
Apartment,1,Non-Residence,Registrable,432339,12,3,0,6,1,0,8,1,1,1,22523706,22665449,Up
Villa,0,Non-Residence,Registrable,270036,5,5,1,8,0,0,9,1,1,1,14303336,14404514,Up
Farm House,0,Residence,Registrable,318324,3,8,0,1,0,1,7,1,1,0,16450812,16571904,Up
Villa,0,Residence,Registrable,257926,1,2,1,1,1,1,8,0,0,1,13277927,13413954,Up
Flat,25,Non-Residence,Registrable,178289,4,6,0,8,0,1,8,0,1,0,9856968,9944977,Up
Building,1,Non-Residence,Documented,513653,8,9,1,2,1,0,2,1,1,1,26481820,26595796,Up
Building,12,Residence,Documented,742952,3,8,0,8,1,1,9,1,0,0,38051201,38133426,Up
Empty Land,0,Non-Residence,Documented,126157,10,8,0,4,0,0,6,0,1,1,7161963,7250400,Up
Empty Land,0,Residence,Registrable,235667,2,8,1,5,1,1,4,0,0,1,12477500,12598435,Up
Building,7,Non-Residence,Registrable,682169,11,7,1,1,1,0,5,1,1,0,35160182,35223830,Up
Empty Land,0,Non-Residence,Documented,481171,9,8,0,7,1,0,10,1,1,1,25031545,25177968,Up
Building,4,Non-Residence,Documented,719594,10,6,1,8,0,1,5,0,0,0,36987328,37080264,Up
Flat,21,Residence,Documented,70967,5,2,1,1,0,1,7,1,0,0,4300618,4390881,Up
Empty Land,0,Residence,Documented,184234,14,2,0,5,0,1,9,0,1,1,10157107,10255480,Up
Building,4,Non-Residence,Registrable,623294,7,8,1,5,1,1,7,1,0,1,32089820,32192634,Up
Empty Land,0,Non-Residence,Documented,110251,11,1,0,7,0,1,9,0,1,1,6342794,6457931,Up
Villa,0,Non-Residence,Registrable,381550,11,6,0,9,0,0,4,1,1,0,19918209,20055549,Up
Farm House,0,Non-Residence,Documented,693017,2,6,1,4,0,1,10,1,1,0,35249675,35396130,Up
Villa,0,Non-Residence,Registrable,461579,9,4,1,8,1,1,10,1,1,1,24122912,24219884,Up
House,2,Non-Residence,Registrable,368952,13,3,0,0,1,0,4,0,1,0,19265050,19343197,Up
Building,15,Non-Residence,Registrable,106581,9,3,0,8,0,1,6,1,1,1,6278159,6347454,Up
House,3,Non-Residence,Registrable,613833,4,1,0,9,0,0,8,0,0,1,31221880,31278777,Up
Building,1,Residence,Documented,559486,4,3,0,6,0,1,9,0,0,1,28533107,28659919,Up
Farm House,0,Residence,Registrable,110578,6,4,0,3,1,1,1,0,0,0,6068383,6156636,Up
Empty Land,0,Residence,Registrable,23171,10,5,0,2,0,0,1,0,1,0,1786803,1842641,Up
Building,6,Residence,Documented,418900,10,3,1,9,1,1,8,1,0,1,21927240,22059933,Up
Villa,0,Non-Residence,Documented,356028,10,6,1,5,1,1,7,1,1,0,18734597,18852277,Up
Empty Land,0,Residence,Documented,610990,6,5,1,0,1,1,9,1,0,1,31234139,31364081,Up
Farm House,0,Residence,Documented,52163,12,3,0,2,0,1,3,0,1,1,3304255,3380669,Up
Villa,0,Non-Residence,Registrable,16208,1,6,1,1,0,0,10,1,1,0,1355004,1443752,Up
Empty Land,0,Residence,Documented,312455,14,6,0,8,1,0,5,0,1,1,16619944,16731101,Up
Building,14,Residence,Registrable,134383,14,8,0,2,1,1,3,0,1,1,7835315,7914798,Up
Building,14,Residence,Documented,318894,9,2,1,1,1,1,5,0,1,1,16850735,16912248,Up
Villa,0,Residence,Registrable,113047,2,1,0,3,1,0,10,1,0,1,6084798,6190347,Up
Flat,10,Residence,Documented,559542,5,4,0,1,0,0,1,0,1,1,28475121,28569923,Up
Building,7,Non-Residence,Documented,142983,9,7,0,0,0,1,4,1,0,0,7907179,7983630,Up
Flat,23,Non-Residence,Documented,658771,4,3,0,5,1,0,6,1,1,0,33676658,33767567,Up
Empty Land,0,Non-Residence,Documented,215335,11,3,0,9,1,0,2,1,1,1,11624636,11722727,Up
Flat,24,Residence,Registrable,402396,3,5,0,7,1,0,7,0,1,0,20921664,21024053,Up
Villa,0,Residence,Documented,85396,7,5,1,9,0,0,8,1,0,1,5158550,5249513,Up
House,3,Residence,Registrable,477595,6,3,0,9,1,1,1,0,1,1,24571983,24676717,Up
House,2,Non-Residence,Registrable,71795,8,9,0,1,0,0,4,0,0,1,4228466,4366674,Up
Villa,0,Residence,Documented,744474,3,4,0,8,1,1,4,0,1,1,37745397,37873564,Up
Apartment,12,Residence,Documented,273755,5,3,0,2,0,1,5,0,0,0,14189734,14305243,Up
House,3,Residence,Registrable,300148,10,2,1,7,0,0,4,1,0,0,15780446,15862737,Up
Villa,0,Residence,Registrable,657662,4,9,1,7,1,1,9,1,0,1,33834564,33906381,Up
Building,19,Non-Residence,Registrable,8655,13,4,0,2,0,1,7,1,1,0,1396817,1523785,Up
Flat,9,Non-Residence,Registrable,467372,4,3,0,2,0,0,2,1,1,1,23817967,23952454,Up
House,3,Residence,Registrable,375205,4,7,0,5,0,0,1,0,0,0,19270902,19394568,Up
Building,4,Non-Residence,Documented,572042,10,8,1,0,0,0,9,0,1,1,29532762,29671434,Up
House,1,Non-Residence,Documented,610769,8,2,1,3,1,1,1,0,1,1,31225775,31278334,Up
Empty Land,0,Non-Residence,Registrable,555094,6,7,1,0,1,1,6,0,1,1,28494030,28558774,Up
Villa,0,Residence,Documented,148218,3,5,1,2,1,1,2,1,0,0,8002630,8083785,Up
Villa,0,Non-Residence,Registrable,309487,10,5,0,8,1,1,4,1,0,0,16340236,16411257,Up
Building,10,Non-Residence,Documented,645763,5,3,1,4,1,0,6,0,1,1,33028143,33160675,Up
Apartment,14,Residence,Registrable,359245,6,5,1,4,0,1,5,0,0,0,18728976,18835874,Up
Empty Land,0,Non-Residence,Documented,108012,5,2,0,3,0,0,6,0,1,0,5815302,5944025,Up
Flat,6,Non-Residence,Documented,147943,6,4,0,2,0,0,3,0,1,0,7888370,7989406,Up
