area_sqft,bedrooms,bathrooms,swimming_pool,parking_space,furnished,furniture_available,locality_score,access_main_road,shopping_complex,local_market,previous_price,price,future_trend
51714,4,5,0,2,1,1,10,1,0,1,3197901,3340348,Up
61728,5,4,0,0,0,1,2,1,0,1,3510666,3644068,Up
49484,2,3,1,4,1,1,7,0,1,0,3070967,3163574,Up
41274,9,3,1,2,0,1,7,1,0,1,2893588,2971209,Up
3068,8,3,1,1,1,1,7,1,0,0,971360,1034183,Up
63092,3,1,1,2,1,0,3,0,1,0,3589054,3669040,Up
68063,9,4,1,3,1,0,7,1,0,1,4230480,4344805,Up
3195,3,5,0,2,0,0,1,0,1,1,530018,637789,Up
48690,9,2,0,0,1,1,10,1,1,0,3159782,3264755,Up
5758,2,2,1,5,0,0,1,1,1,0,775429,840119,Up
40004,9,3,0,2,0,1,5,1,1,1,2711082,2800189,Up
33659,8,4,0,5,0,1,2,1,0,1,2301306,2409194,Up
14486,9,1,0,3,0,1,9,1,0,0,1462938,1523894,Up
62358,5,4,1,1,0,0,7,1,1,0,3709656,3846495,Up
13166,2,4,0,5,0,0,4,0,1,0,1036624,1142851,Up
39160,8,1,0,4,0,0,4,1,0,1,2539697,2626230,Up
4061,6,3,0,2,1,1,2,1,1,0,691211,836421,Up
27354,8,4,1,3,1,0,5,1,1,1,2205824,2312058,Up
65005,5,2,0,3,1,1,4,0,1,0,3706534,3824128,Up
52751,2,1,0,5,0,0,1,0,0,1,2866806,2973707,Up
23162,6,5,1,1,0,0,8,0,1,1,1842495,1904014,Up
8892,5,3,1,0,0,1,3,1,0,1,1027185,1108300,Up
31035,5,1,0,2,0,1,6,1,0,1,1967664,2083930,Up
52756,1,5,0,3,1,0,4,0,0,0,2999656,3051488,Up
35722,2,5,1,1,0,0,9,0,1,1,2369951,2461319,Up
63835,8,4,1,4,1,0,7,0,1,1,4016941,4155366,Up
11465,3,4,1,3,0,1,9,1,0,1,1230024,1349739,Up
25038,3,4,1,1,1,1,10,0,0,0,1779981,1901816,Up
71092,8,1,1,0,0,0,3,1,0,0,4072597,4195963,Up
8610,8,1,1,0,1,0,1,1,1,0,1078143,1165713,Up
27766,2,3,1,3,0,1,5,1,1,0,1837683,1975660,Up
53492,8,4,0,3,1,0,3,0,0,0,3300790,3357405,Up
7410,1,5,1,5,0,1,6,1,0,0,861655,983953,Up
706,6,2,1,2,1,1,8,0,1,1,719692,808003,Up
23919,8,3,0,1,1,1,4,0,0,1,1759726,1899971,Up
51136,3,1,1,3,0,1,5,0,1,1,3082542,3155976,Up
50515,8,3,1,2,1,1,5,0,1,0,3273670,3410549,Up
54768,1,3,0,5,0,1,4,1,0,1,3206046,3271785,Up
18641,9,3,1,2,0,0,4,1,0,1,1662462,1778664,Up
72410,9,3,0,3,0,1,4,1,1,0,4285839,4434419,Up
56544,5,2,0,0,1,1,4,1,1,1,3314853,3458272,Up
67714,4,4,0,1,1,0,4,0,1,0,3758511,3888110,Up
34327,6,5,0,1,0,1,5,0,1,1,2339163,2422812,Up
56320,7,3,1,0,0,0,2,0,1,0,3351823,3449268,Up
63123,5,3,0,3,1,1,2,0,0,0,3610928,3700398,Up
22799,9,3,0,1,1,0,9,1,1,0,1826144,1951109,Up
44085,3,4,1,3,1,0,2,0,1,1,2737668,2836289,Up
64544,7,1,0,5,0,1,6,1,1,1,3872074,3955000,Up
43057,5,1,0,3,0,1,2,0,0,0,2505614,2593611,Up
49580,7,2,0,2,0,1,5,0,0,0,2998686,3108626,Up
3193,2,1,0,0,0,1,4,0,1,1,465029,555753,Up
69663,4,3,1,3,0,0,7,0,1,1,4004008,4151813,Up
26439,2,3,0,5,1,0,7,1,0,0,1836149,1917853,Up
49425,7,3,1,4,0,0,6,1,0,1,3188271,3266662,Up
43441,2,2,1,0,1,1,10,1,0,1,2679126,2792417,Up
22334,1,3,0,1,1,0,5,1,0,1,1372790,1512513,Up
18547,9,1,0,2,0,1,1,0,1,0,1494718,1547244,Up
26605,1,4,0,1,1,1,3,0,0,0,1662008,1736694,Up
16207,8,4,0,5,0,0,9,1,1,1,1546280,1669619,Up
22476,2,5,1,5,1,1,1,1,1,0,1687344,1835548,Up
44762,8,1,1,1,0,0,5,0,0,1,2842716,2899290,Up
24276,3,3,1,0,0,1,2,0,0,1,1640385,1699118,Up
30580,6,4,0,1,1,0,4,1,0,0,2045728,2146018,Up
67342,3,1,1,3,0,1,1,1,0,0,3729066,3851859,Up
61873,7,4,0,1,1,0,3,1,1,0,3664097,3750148,Up
7276,9,3,0,2,0,0,10,0,1,1,1073880,1139789,Up
55516,2,4,0,2,0,1,7,1,1,1,3186686,3326368,Up
9974,5,5,0,4,0,1,10,1,0,0,1137939,1265277,Up
58553,6,5,0,2,1,0,3,1,1,0,3484317,3607749,Up
22459,4,4,1,1,1,1,4,1,0,0,1764717,1842850,Up
6030,4,1,1,2,0,1,2,1,1,1,780568,882139,Up
4248,4,1,0,0,1,1,3,0,0,1,496820,625882,Up
14045,2,1,1,2,0,0,9,1,1,1,1205554,1306462,Up
66699,4,4,0,3,1,0,3,0,1,0,3848933,3910211,Up
35266,1,1,0,0,1,1,5,1,0,0,2064159,2165617,Up
74030,6,3,0,4,0,1,2,1,1,1,4237283,4351548,Up
61587,1,5,1,3,0,0,4,1,1,0,3510633,3617415,Up
69340,6,3,0,1,0,1,7,0,0,0,3898621,4004036,Up
54884,1,1,0,1,0,0,7,0,0,0,2883927,3025014,Up
51505,6,3,1,1,0,1,3,0,0,0,3105784,3209944,Up
47076,8,1,1,3,1,1,5,1,0,1,3046325,3150724,Up
39853,2,4,1,3,1,1,1,1,0,0,2522556,2597854,Up
62503,2,3,0,3,0,0,10,0,1,1,3575803,3647994,Up
53233,4,4,0,0,0,0,10,0,0,1,3141629,3248593,Up
65818,3,4,1,5,0,0,10,1,1,0,3944326,4027418,Up
24164,4,2,0,0,1,0,1,0,1,1,1480852,1620259,Up
67672,7,1,1,1,0,1,5,1,0,1,3931395,4056652,Up
27236,1,5,1,5,0,1,10,0,1,0,1974090,2086603,Up
1354,6,1,0,2,1,0,9,0,1,1,643127,744224,Up
39123,3,5,0,1,1,1,1,0,0,1,2429381,2509660,Up
7892,7,1,1,4,1,1,1,1,1,1,1154768,1219172,Up
56180,2,4,1,0,1,0,4,1,0,1,3222658,3342680,Up
47217,2,3,1,3,0,1,4,0,0,1,2837673,2922871,Up
51359,4,3,1,0,1,1,2,1,0,1,3078976,3223199,Up
26809,1,2,0,3,1,0,9,1,1,1,1755496,1855493,Up
64234,3,5,1,5,0,1,9,1,1,1,3870427,3999119,Up
70967,9,5,1,4,0,1,2,1,1,0,4429675,4480242,Up
53162,7,5,1,5,0,1,9,0,1,0,3444208,3555240,Up
13188,7,4,0,4,1,0,6,1,0,0,1360705,1412884,Up
25842,4,5,0,0,0,0,8,1,1,1,1883950,1935969,Up
37657,2,3,1,3,1,1,10,0,0,1,2431605,2563060,Up
68363,4,4,0,5,1,1,4,1,1,1,4010511,4145750,Up
52583,6,1,0,4,1,1,2,1,1,0,3223943,3292647,Up
66233,3,5,0,1,0,0,2,1,1,0,3695107,3763137,Up
35198,1,5,1,1,1,0,9,0,1,0,2281147,2400592,Up
23171,8,1,1,5,0,0,1,0,1,1,1772111,1895662,Up
25684,5,5,0,3,0,1,7,1,0,0,1896890,1950310,Up
42607,5,1,1,5,0,1,3,1,1,0,2666835,2776710,Up
52163,4,4,1,0,1,1,3,0,1,1,3174907,3272560,Up
16208,6,3,0,4,1,1,2,0,1,0,1439078,1505818,Up
50311,3,1,0,0,1,1,10,0,1,1,2973325,3088588,Up
3311,9,2,1,1,0,0,6,1,0,0,812853,958717,Up
56750,5,1,0,4,1,1,10,1,1,1,3415958,3530517,Up
72582,3,5,1,5,1,1,2,0,0,1,4300896,4370361,Up
35254,1,4,1,0,1,1,10,1,1,1,2361392,2462824,Up
11911,6,4,0,2,1,0,4,1,0,1,1256717,1310848,Up
3411,2,1,1,3,1,1,10,1,0,1,775847,836499,Up
67770,3,3,1,3,0,0,9,1,0,0,3926795,4041768,Up
9180,1,2,0,2,0,0,9,1,0,1,778277,915320,Up
71795,9,4,0,1,0,0,6,1,0,1,4291159,4388306,Up
11611,8,5,0,4,0,0,4,1,1,1,1324180,1421851,Up
38004,2,5,1,3,1,0,7,0,0,1,2411985,2551327,Up
2302,8,3,0,2,0,1,1,0,1,0,629125,698296,Up
8655,9,4,0,5,1,1,4,0,0,1,1166709,1302838,Up
74156,1,1,0,2,0,0,5,0,0,0,3878408,3984100,Up
39884,5,5,0,1,0,0,8,0,1,1,2535373,2643914,Up
47754,8,3,1,1,0,0,2,0,0,1,2995151,3054621,Up
22418,2,4,1,0,1,1,5,0,0,0,1519302,1630646,Up
61213,4,4,0,3,1,1,6,0,0,0,3594877,3689185,Up
30806,7,4,1,0,0,0,5,0,0,0,2130011,2230650,Up
17146,3,4,0,2,1,1,9,1,1,1,1481319,1552645,Up
47343,5,4,0,4,0,1,10,1,0,0,3031773,3086370,Up
16871,8,5,1,4,0,0,1,0,0,1,1583893,1664681,Up
2549,3,3,1,1,0,0,3,1,1,0,534493,649513,Up
32116,4,4,0,4,1,1,2,1,1,0,2173059,2272536,Up
21432,9,2,0,4,0,1,3,0,0,1,1727442,1810513,Up
30355,7,2,1,4,0,1,10,0,0,0,2226093,2346696,Up
61934,1,3,0,2,0,0,9,0,1,0,3420748,3532671,Up
73194,4,1,1,4,1,0,9,1,0,1,4212738,4333298,Up
43516,4,1,0,5,0,0,10,1,1,1,2653113,2776364,Up
7900,9,1,0,4,1,1,2,0,0,1,1038942,1146434,Up
43142,6,2,1,4,0,1,3,1,1,0,2805055,2886825,Up
15651,9,1,1,0,1,0,4,1,1,0,1466922,1593684,Up
51907,6,5,1,2,0,1,9,1,1,0,3389891,3475290,Up
67190,6,4,1,1,0,0,3,0,0,0,3867637,3996585,Up
4999,5,2,1,0,1,1,7,1,0,0,795373,902812,Up
6795,5,3,1,3,1,0,3,1,0,1,915600,1010015,Up
59540,2,3,1,2,0,1,7,1,0,0,3459136,3521705,Up
12683,8,4,0,5,1,1,7,1,1,1,1512060,1564429,Up
29799,8,2,0,2,0,0,9,1,1,0,2084864,2232421,Up
13374,1,1,0,3,0,0,2,1,1,1,1019252,1069780,Up
33211,8,1,1,3,0,0,6,1,0,0,2350070,2430384,Up
6039,5,5,1,3,1,0,9,0,0,0,1041882,1109929,Up
53851,2,5,1,1,0,0,2,0,0,1,3133630,3203378,Up
61767,2,1,0,4,1,1,2,1,1,0,3526447,3611556,Up
48854,6,3,1,2,0,0,5,0,0,1,3044885,3108804,Up
3057,9,3,1,4,1,0,10,1,0,0,1016286,1113784,Up
38860,1,5,0,4,1,0,10,1,1,0,2438242,2544050,Up
2700,6,4,1,5,0,0,10,1,1,1,908160,1038952,Up
68997,9,1,0,3,1,0,8,0,0,0,4085979,4206420,Up
47475,8,5,0,1,0,1,9,1,1,1,3062814,3187234,Up
21857,6,5,1,5,0,0,2,1,0,0,1786592,1865498,Up
3369,3,1,1,0,0,0,5,0,1,0,516909,638395,Up
61635,8,1,1,1,0,0,7,0,1,0,3678532,3795428,Up
50608,9,3,0,4,0,1,6,1,1,0,3264777,3336723,Up
38967,1,4,0,1,1,1,6,0,0,0,2337662,2434682,Up
23828,9,4,0,3,0,0,7,0,0,0,1856739,1981005,Up
4487,6,1,1,0,1,0,3,1,0,0,794552,866713,Up
59371,6,2,1,3,1,1,3,1,1,1,3661173,3738911,Up
22899,4,5,1,0,0,1,10,1,1,0,1816340,1870265,Up
46714,1,5,1,5,1,1,9,0,1,0,3015205,3073668,Up
70771,8,1,0,4,0,0,8,0,1,0,4092916,4200069,Up
44564,2,2,0,0,1,0,5,0,0,1,2444359,2577307,Up
70591,1,3,0,0,1,1,6,1,0,1,3889322,4000331,Up
41318,2,1,0,0,1,0,10,0,0,0,2291831,2429769,Up
46025,1,1,1,1,0,1,1,0,1,0,2552687,2702233,Up
20330,1,5,1,5,1,1,10,1,1,0,1647617,1788870,Up
17929,9,1,1,1,0,1,1,1,0,1,1537593,1629145,Up
7393,1,1,0,4,1,0,4,1,1,0,708801,815072,Up
47833,4,1,0,0,1,1,2,0,0,1,2714824,2774621,Up
3936,6,5,1,5,1,1,7,1,1,0,1057475,1193605,Up
74790,7,3,1,5,1,0,2,0,1,1,4403209,4525151,Up
6395,2,3,0,2,0,1,10,0,0,1,777759,841724,Up
20238,6,1,1,4,0,0,2,1,0,0,1541613,1605346,Up
31246,7,5,0,5,1,1,5,1,1,0,2307185,2410408,Up
49877,2,3,0,0,1,0,4,1,0,0,2862103,2939029,Up
48904,2,3,0,0,0,1,8,1,0,0,2780240,2859023,Up
54545,7,3,1,5,0,1,4,1,1,0,3392344,3525704,Up
40290,1,5,1,1,0,1,6,0,1,0,2447038,2533432,Up
6100,8,5,0,4,0,1,5,0,1,0,940424,1055220,Up
41264,3,1,1,0,1,1,2,0,0,1,2494003,2572290,Up
46214,6,4,0,5,1,0,8,1,1,0,3001561,3133665,Up
57335,9,3,0,0,0,0,2,0,1,0,3379522,3459958,Up
74244,6,4,0,5,0,1,9,1,1,1,4423264,4560180,Up
56991,9,5,0,4,0,1,9,1,1,0,3599728,3740060,Up
19089,7,5,1,5,0,1,3,0,1,0,1664928,1788495,Up
43984,9,5,0,2,0,0,4,0,0,0,2732254,2869737,Up
36712,2,4,0,5,0,0,8,1,1,0,2400095,2453283,Up
44025,8,5,1,5,1,1,9,0,1,1,3124179,3265384,Up
47702,8,1,0,4,1,0,3,1,0,1,2950005,3097354,Up
33135,2,5,0,5,1,1,5,0,1,0,2183767,2240532,Up
63708,4,2,1,4,0,1,8,0,1,0,3784361,3885987,Up
34328,7,4,1,2,0,1,3,0,0,1,2349931,2488638,Up
19211,4,2,1,4,0,0,7,0,1,0,1565463,1626270,Up
3920,4,5,0,0,1,1,8,0,0,1,798800,859004,Up
801,6,1,1,4,0,1,10,1,1,1,699520,842122,Up
45736,6,3,1,2,0,1,3,0,0,1,2879871,2987815,Up
66735,3,5,0,3,1,0,2,0,0,0,3798633,3890753,Up
54740,9,1,0,5,0,0,10,0,1,0,3478280,3550938,Up
66226,2,4,0,4,1,0,7,1,0,0,3821965,3909046,Up
10992,6,2,0,5,1,1,9,1,0,1,1240316,1325302,Up
6602,7,2,0,1,0,0,1,1,1,0,706835,836157,Up
50836,9,2,1,0,1,1,3,1,1,0,3197897,3342716,Up
27141,3,4,1,0,0,0,5,1,0,1,1814014,1914318,Up
35084,3,1,1,1,1,1,3,0,1,0,2162586,2278178,Up
33245,7,4,0,1,0,0,1,0,0,0,2061961,2170509,Up
23593,4,2,0,4,1,1,7,0,0,0,1619786,1768233,Up
66605,8,5,0,1,0,0,7,1,1,1,4064664,4154650,Up
52385,7,3,1,3,1,0,10,1,1,0,3384448,3508543,Up
37131,5,4,1,5,1,0,8,0,0,1,2486999,2628593,Up
73491,7,4,0,5,1,1,5,1,1,1,4391699,4529980,Up
4514,3,1,1,2,0,0,10,1,1,1,738442,854593,Up
11593,2,1,0,1,0,0,5,1,0,0,791694,915292,Up
18570,6,4,1,1,1,0,5,0,0,0,1583351,1661565,Up
36277,2,2,1,3,0,0,1,0,0,0,2120973,2209718,Up
57458,3,3,1,0,1,1,10,1,0,1,3461661,3554209,Up
11229,6,1,0,0,0,0,5,1,0,1,984053,1044734,Up
45517,5,2,1,5,1,1,6,1,0,0,3007866,3064850,Up
66820,8,5,1,5,0,1,1,1,1,1,4212600,4290179,Up
28251,9,1,0,4,1,1,7,0,0,0,2038847,2179657,Up
55248,3,2,1,3,1,1,1,1,1,0,3282516,3387449,Up
6301,3,2,0,2,1,0,2,0,1,0,651916,729315,Up
19690,3,3,0,2,1,1,2,0,0,0,1394509,1475990,Up
50189,6,3,0,3,0,1,5,0,1,0,3062386,3113330,Up
51493,1,5,0,2,1,1,10,1,0,0,3065236,3209229,Up
30092,7,2,0,0,0,1,7,0,1,0,2005741,2064855,Up
11147,1,2,1,2,0,0,1,0,0,1,799006,888852,Up
9216,5,3,0,2,1,0,10,1,0,0,1017326,1150992,Up
70816,8,1,0,3,0,1,1,1,0,1,4048376,4176224,Up
2868,4,1,0,3,0,1,1,1,0,1,546642,629238,Up
7155,5,4,0,2,0,1,6,0,1,0,868429,993716,Up
70531,4,3,1,1,1,0,2,1,1,1,4111009,4167916,Up
56266,4,4,0,3,0,0,1,0,1,1,3227611,3305725,Up
13903,8,3,1,4,0,0,6,0,1,1,1462469,1537478,Up
32597,2,5,0,4,1,0,2,1,1,0,2077400,2212246,Up
11466,1,2,1,0,1,0,6,0,0,0,934753,1034994,Up
53421,3,5,0,2,0,1,10,0,0,0,3131131,3216856,Up
50226,9,3,0,1,1,0,8,0,0,0,3218578,3287574,Up
50800,4,2,1,0,0,0,2,0,0,0,2901059,2957106,Up
23177,5,1,0,2,0,1,9,1,0,1,1686814,1765581,Up
56109,2,1,1,3,0,0,8,0,1,1,3314113,3380460,Up
57161,4,4,0,4,1,0,10,1,0,0,3516481,3590583,Up
31524,2,3,1,5,0,0,1,0,0,1,2014536,2068799,Up
70813,2,3,0,1,1,1,7,0,1,1,3979538,4096976,Up
53506,4,1,0,5,1,0,10,1,1,1,3244647,3391006,Up
15838,6,5,1,4,0,1,6,0,0,1,1485364,1565904,Up
68527,7,2,0,5,1,1,6,0,0,0,4011988,4137714,Up
20008,3,5,0,3,1,0,6,0,1,0,1467423,1581192,Up
3551,3,5,0,2,1,0,6,0,0,0,682459,773302,Up
49247,6,1,0,3,1,0,10,0,0,1,3054572,3132262,Up
54521,3,1,0,5,1,0,7,0,0,1,3207701,3260695,Up
66912,2,1,0,3,0,1,3,1,1,0,3605286,3722832,Up
58835,8,4,1,4,1,0,6,1,0,0,3812583,3869960,Up
56679,5,5,1,1,0,1,3,1,0,1,3420144,3548716,Up
32593,1,3,1,3,0,1,7,0,1,0,2144771,2221238,Up
70178,3,2,0,4,0,1,7,0,1,0,3987394,4037442,Up
40234,8,4,1,1,0,1,8,0,1,1,2750635,2837613,Up
73115,4,3,0,2,0,1,2,1,0,1,4116593,4214199,Up
74023,7,5,0,5,0,0,9,0,1,0,4330143,4461717,Up
17519,2,1,0,2,1,1,5,1,0,1,1186217,1334329,Up
74347,7,5,0,0,1,1,9,0,1,0,4398904,4522318,Up
28751,5,2,1,4,1,0,10,0,0,1,2009724,2152869,Up
26445,5,4,0,1,0,0,5,0,1,1,1838033,1937255,Up
32717,6,4,1,3,1,1,7,1,0,0,2424761,2522876,Up
8808,9,2,0,2,1,1,9,0,0,1,1136914,1276520,Up
6449,6,3,1,1,1,0,4,1,1,0,921594,1012241,Up
52490,8,3,1,4,0,1,2,0,1,1,3377165,3481772,Up
1650,7,4,1,0,1,0,9,0,0,0,710419,817829,Up
67117,9,4,1,2,0,0,2,1,1,1,4158241,4230237,Up
17396,4,1,1,5,1,1,3,0,0,1,1415911,1520832,Up
46675,2,3,1,1,0,0,10,0,1,0,2769131,2902828,Up
8305,7,2,0,5,0,1,2,0,1,1,1017890,1113912,Up
5737,6,3,1,1,0,1,3,0,0,0,793002,883150,Up
20556,1,1,0,1,1,1,6,1,1,1,1395736,1513500,Up
46043,9,4,1,4,1,0,3,1,1,1,3116194,3258095,Up
57056,9,4,0,4,0,1,10,0,0,0,3557685,3698409,Up
3843,2,1,1,4,1,0,8,0,0,1,728824,787712,Up
14000,3,2,1,3,0,1,6,1,1,1,1261379,1400045,Up
53722,5,4,0,1,0,1,7,0,0,0,3183842,3273001,Up
29875,5,5,1,2,1,0,1,1,1,1,2112256,2204453,Up
10162,1,4,1,5,1,1,3,0,1,0,1036419,1170745,Up
17464,8,5,1,4,1,1,3,1,0,0,1660955,1801315,Up
60138,8,1,0,4,0,0,2,1,0,0,3496049,3644990,Up
74166,4,1,1,5,0,0,7,1,0,1,4271502,4345976,Up
67715,7,4,0,5,1,0,9,1,0,1,4180127,4247460,Up
69542,3,3,1,1,0,1,4,0,0,0,3920822,4007177,Up
13784,6,5,1,4,1,0,5,0,0,1,1399125,1548540,Up
73289,9,2,0,5,0,0,3,1,1,0,4275987,4399890,Up
61889,1,4,1,3,1,1,9,1,1,1,3700115,3816373,Up
9935,5,2,1,3,1,0,4,1,0,0,1065407,1146552,Up
54840,4,4,0,4,0,1,5,1,1,0,3296656,3422331,Up
44578,8,3,1,5,1,1,1,0,1,1,3006950,3106804,Up
51793,1,3,0,1,1,0,2,1,1,0,2887148,3004812,Up
60903,9,3,0,1,0,1,9,1,1,0,3734166,3870319,Up
29624,6,3,0,1,1,0,2,1,0,1,1950731,2094347,Up
44419,4,1,1,0,0,0,5,1,1,0,2647740,2733025,Up
35747,9,1,0,4,1,0,8,1,1,0,2566832,2634365,Up
63252,5,5,0,1,0,0,3,1,0,1,3684692,3767316,Up
57073,5,2,1,3,1,1,6,1,0,0,3445958,3542954,Up
59601,5,4,0,5,1,1,4,0,0,0,3552725,3649672,Up
27146,1,4,1,2,1,0,7,1,0,0,1878559,1956515,Up
23549,1,1,1,2,1,0,10,1,1,0,1691566,1792596,Up
68885,8,4,1,1,0,1,3,1,0,0,4134626,4243223,Up
40658,8,1,1,2,0,0,6,0,1,0,2617978,2710421,Up
65917,6,5,0,2,0,1,10,0,1,0,3866265,4014878,Up
23789,4,2,0,0,0,0,9,0,0,0,1518314,1633778,Up
10323,2,5,0,3,0,1,10,1,0,1,1074499,1128451,Up
60660,2,3,0,3,0,1,1,1,0,0,3329135,3436015,Up
42475,9,3,0,0,0,1,3,1,0,0,2723825,2826026,Up
10040,5,3,1,0,1,0,2,0,0,1,991385,1083845,Up
16864,4,5,0,2,1,0,8,1,0,0,1467222,1540018,Up
5111,1,4,0,4,1,0,7,0,1,0,730198,811944,Up
28163,7,2,0,5,1,0,2,0,1,0,1920524,2057309,Up
52491,3,3,1,5,0,0,6,0,1,0,3203249,3253264,Up
58179,6,3,1,2,0,1,3,0,1,0,3519915,3619672,Up
31477,5,3,0,5,0,1,8,0,0,0,2187614,2263571,Up
49615,5,2,1,0,1,1,10,1,0,1,3150939,3282480,Up
61390,5,3,0,3,0,1,3,1,1,1,3598438,3669730,Up
66887,1,2,0,5,1,1,10,0,1,1,3895028,3976904,Up
18571,1,3,1,2,0,1,9,1,1,1,1452085,1562812,Up
59775,3,5,1,4,0,1,1,1,0,1,3591905,3688951,Up
72869,4,5,0,2,0,0,5,0,0,0,4095355,4160172,Up
12438,5,2,0,1,0,1,3,0,0,0,932253,1073259,Up
35695,2,5,1,2,1,0,6,1,1,0,2422787,2482546,Up
4500,8,2,0,0,1,1,10,1,1,0,901727,1000159,Up
71088,2,5,1,3,0,1,2,1,0,0,4125040,4181452,Up
38804,9,5,0,3,1,0,9,1,0,1,2792652,2900409,Up
69949,2,2,1,5,0,1,6,0,1,1,4002185,4072689,Up
21264,9,4,0,0,0,0,7,1,1,0,1806644,1865151,Up
38994,7,5,0,1,0,1,5,0,0,0,2534536,2605586,Up
